Country,Type,Event,Date.effective,Link,X
Austria,Schools + Universities,placeholder,14.03.2020,,placeholder
Austria,travel_restrictions,placeholder,13.03.2020,,placeholder
Austria,Public events,placeholder,10.03.2020,,placeholder
Austria,sport,placeholder,15.03.2020,,placeholder
Austria,Lockdown,placeholder,16.03.2020,,placeholder
Austria,Self-isolating if ill,placeholder,16.03.2020,,placeholder
Austria,Social distancing encouraged,placeholder,16.03.2020,,placeholder
Belgium,Schools + Universities,placeholder,14.03.2020,,placeholder
Belgium,travel_restrictions,placeholder,19.03.2020,,placeholder
Belgium,Public events,placeholder,12.03.2020,,placeholder
Belgium,sport,placeholder,14.03.2020,,placeholder
Belgium,Lockdown,placeholder,18.03.2020,,placeholder
Belgium,Self-isolating if ill,placeholder,14.03.2020,,placeholder
Belgium,Social distancing encouraged,placeholder,10.03.2020,,placeholder
Denmark,Schools + Universities,placeholder,13.03.2020,,placeholder
Denmark,travel_restrictions,placeholder,13.03.2020,,placeholder
Denmark,Public events,placeholder,12.03.2020,,placeholder
Denmark,sport,placeholder,12.03.2020,,placeholder
Denmark,Lockdown,placeholder,18.03.2020,,placeholder
Denmark,Self-isolating if ill,placeholder,13.03.2020,,placeholder
Denmark,Social distancing encouraged,placeholder,12.03.2020,,placeholder
France,Schools + Universities,placeholder,14.03.2020,,placeholder
France,travel_restrictions,placeholder,17.03.2020,,placeholder
France,Public events,placeholder,13.03.2020,,placeholder
France,sport,placeholder,13.02.2020,,placeholder
France,Lockdown,placeholder,17.03.2020,,placeholder
France,Self-isolating if ill,placeholder,16.03.2020,,placeholder
France,Social distancing encouraged,placeholder,16.03.2020,,placeholder
Germany,Schools + Universities,placeholder,14.03.2020,,placeholder
Germany,travel_restrictions,placeholder,16.03.2020,,placeholder
Germany,Public events,placeholder,22.03.2020,,placeholder
Germany,sport,placeholder,13.03.2020,,placeholder
Germany,Lockdown,placeholder,22.03.2020,,placeholder
Germany,Self-isolating if ill,placeholder,12.03.2020,,placeholder
Germany,Social distancing encouraged,placeholder,6.03.2020,,placeholder
Italy,Schools + Universities,placeholder,5.03.2020,,placeholder
Italy,travel_restrictions,placeholder,9.03.2020,,placeholder
Italy,Public events,placeholder,9.03.2020,,placeholder
Italy,sport,placeholder,9.03.2020,,placeholder
Italy,Lockdown,placeholder,11.03.2020,,placeholder
Italy,Self-isolating if ill,placeholder,9.03.2020,,placeholder
Italy,Social distancing encouraged,placeholder,9.03.2020,,placeholder
Norway,Schools + Universities,placeholder,13.03.2020,,placeholder
Norway,travel_restrictions,placeholder,13.03.2020,,placeholder
Norway,Public events,placeholder,12.03.2020,,placeholder
Norway,sport,placeholder,13.03.2020,,placeholder
Norway,Lockdown,placeholder,24.03.2020,,placeholder
Norway,Self-isolating if ill,placeholder,16.03.2020,,placeholder
Norway,Social distancing encouraged,placeholder,15.03.2020,,placeholder
Spain,Schools + Universities,placeholder,13.03.2020,,placeholder
Spain,travel_restrictions,placeholder,12.03.2020,,placeholder
Spain,Public events,placeholder,14.03.2020,,placeholder
Spain,sport,placeholder,13.03.2020,,placeholder
Spain,Lockdown,placeholder,14.03.2020,,placeholder
Spain,Self-isolating if ill,placeholder,9.03.2020,,placeholder
Spain,Social distancing encouraged,placeholder,17.03.2020,,placeholder
Sweden,Schools + Universities,placeholder,18.03.2020,,placeholder
Sweden,travel_restrictions,placeholder,19.03.2020,,placeholder
Sweden,Public events,placeholder,12.03.2020,,placeholder
Sweden,sport,placeholder,12.03.2020,,placeholder
Sweden,Lockdown,placeholder,21.03.2020,,placeholder
Sweden,Self-isolating if ill,placeholder,16.03.2020,,placeholder
Sweden,Social distancing encouraged,placeholder,10.03.2020,,placeholder
Switzerland,Schools + Universities,placeholder,14.03.2020,,placeholder
Switzerland,travel_restrictions,placeholder,18.03.2020,,placeholder
Switzerland,Public events,placeholder,13.03.2020,,placeholder
Switzerland,sport,placeholder,16.03.2020,,placeholder
Switzerland,Lockdown,placeholder,20.03.2020,,placeholder
Switzerland,Self-isolating if ill,placeholder,16.03.2020,,placeholder
Switzerland,Social distancing encouraged,placeholder,2.03.2020,,placeholder
United_Kingdom,Schools + Universities,placeholder,21.03.2020,,placeholder
United_Kingdom,travel_restrictions,placeholder,24.03.2020,,placeholder
United_Kingdom,Public events,placeholder,24.03.2020,,placeholder
United_Kingdom,sport,placeholder,13.03.2020,,placeholder
United_Kingdom,Lockdown,placeholder,24.03.2020,,placeholder
United_Kingdom,Self-isolating if ill,placeholder,16.03.2020,,placeholder
United_Kingdom,Social distancing encouraged,placeholder,12.03.2020,,placeholder
Alabama,Schools + Universities,placeholder,19.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,placeholder
Alabama,travel_restrictions,placeholder,4.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,placeholder
Alabama,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,placeholder
Alabama,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,placeholder
Alabama,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,placeholder
Alabama,Self-isolating if ill,placeholder,26.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,placeholder
Alabama,Social distancing encouraged,placeholder,2.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama,placeholder
Alaska,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,placeholder
Alaska,travel_restrictions,placeholder,28.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,placeholder
Alaska,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,placeholder
Alaska,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,placeholder
Alaska,Lockdown,placeholder,22.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,placeholder
Alaska,Self-isolating if ill,placeholder,18.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,placeholder
Alaska,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska,placeholder
American Samoa,Schools + Universities,placeholder,23.03.2020,,placeholder
American Samoa,travel_restrictions,placeholder,13.04.2020,,placeholder
American Samoa,Public events,placeholder,13.04.2020,,placeholder
American Samoa,sport,placeholder,13.04.2020,,placeholder
American Samoa,Lockdown,placeholder,13.04.2020,,placeholder
American Samoa,Self-isolating if ill,placeholder,13.04.2020,,placeholder
American Samoa,Social distancing encouraged,placeholder,13.04.2020,,placeholder
Arizona,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona#Government_Response,placeholder
Arizona,travel_restrictions,placeholder,31.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona#Government_Response,placeholder
Arizona,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona#Government_Response,placeholder
Arizona,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona#Government_Response,placeholder
Arizona,Lockdown,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona#Government_Response,placeholder
Arizona,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona#Government_Response,placeholder
Arizona,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona#Government_Response,placeholder
Arkansas,Schools + Universities,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arkansas#State_government,placeholder
Arkansas,travel_restrictions,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arkansas#State_government,placeholder
Arkansas,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arkansas#State_government,placeholder
Arkansas,sport,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arkansas#State_government,placeholder
Arkansas,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arkansas#State_government,placeholder
Arkansas,Self-isolating if ill,placeholder,19.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arkansas#State_government,placeholder
Arkansas,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arkansas#State_government,placeholder
California,Schools + Universities,placeholder,19.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,placeholder
California,travel_restrictions,placeholder,19.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,placeholder
California,Public events,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,placeholder
California,sport,placeholder,11.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,placeholder
California,Lockdown,placeholder,19.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,placeholder
California,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,placeholder
California,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,placeholder
Colorado,Schools + Universities,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado#Government_response,placeholder
Colorado,travel_restrictions,placeholder,26.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado#Government_response,placeholder
Colorado,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado#Government_response,placeholder
Colorado,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado#Government_response,placeholder
Colorado,Lockdown,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado#Government_response,placeholder
Colorado,Self-isolating if ill,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado#Government_response,placeholder
Colorado,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Colorado#Government_response,placeholder
Connecticut,Schools + Universities,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut,placeholder
Connecticut,travel_restrictions,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut,placeholder
Connecticut,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut,placeholder
Connecticut,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut,placeholder
Connecticut,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut,placeholder
Connecticut,Self-isolating if ill,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut,placeholder
Connecticut,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Connecticut,placeholder
Delaware,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response,placeholder
Delaware,travel_restrictions,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response,placeholder
Delaware,Public events,placeholder,13.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response,placeholder
Delaware,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response,placeholder
Delaware,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response,placeholder
Delaware,Self-isolating if ill,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response,placeholder
Delaware,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response,placeholder
District of Columbia,Schools + Universities,placeholder,16.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington,_D.C.#Government_response",placeholder
District of Columbia,travel_restrictions,placeholder,30.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington,_D.C.#Government_response",placeholder
District of Columbia,Public events,placeholder,20.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington,_D.C.#Government_response",placeholder
District of Columbia,sport,placeholder,12.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington,_D.C.#Government_response",placeholder
District of Columbia,Lockdown,placeholder,1.04.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington,_D.C.#Government_response",placeholder
District of Columbia,Self-isolating if ill,placeholder,16.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington,_D.C.#Government_response",placeholder
District of Columbia,Social distancing encouraged,placeholder,13.04.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington,_D.C.#Government_response",placeholder
Florida,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response,placeholder
Florida,travel_restrictions,placeholder,3.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response,placeholder
Florida,Public events,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response,placeholder
Florida,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response,placeholder
Florida,Lockdown,placeholder,1.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response,placeholder
Florida,Self-isolating if ill,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response,placeholder
Florida,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response,placeholder
Georgia,Schools + Universities,placeholder,18.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,placeholder
Georgia,travel_restrictions,placeholder,3.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,placeholder
Georgia,Public events,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,placeholder
Georgia,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,placeholder
Georgia,Lockdown,placeholder,8.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,placeholder
Georgia,Self-isolating if ill,placeholder,8.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,placeholder
Georgia,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,placeholder
Guam,Schools + Universities,placeholder,16.03.2020,,placeholder
Guam,travel_restrictions,placeholder,13.04.2020,,placeholder
Guam,Public events,placeholder,13.04.2020,,placeholder
Guam,sport,placeholder,13.04.2020,,placeholder
Guam,Lockdown,placeholder,13.04.2020,,placeholder
Guam,Self-isolating if ill,placeholder,13.04.2020,,placeholder
Guam,Social distancing encouraged,placeholder,13.04.2020,,placeholder
Hawaii,Schools + Universities,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,placeholder
Hawaii,travel_restrictions,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,placeholder
Hawaii,Public events,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,placeholder
Hawaii,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,placeholder
Hawaii,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,placeholder
Hawaii,Self-isolating if ill,placeholder,20.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,placeholder
Hawaii,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,placeholder
Idaho,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Idaho#Government_response,placeholder
Idaho,travel_restrictions,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Idaho#Government_response,placeholder
Idaho,Public events,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Idaho#Government_response,placeholder
Idaho,sport,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Idaho#Government_response,placeholder
Idaho,Lockdown,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Idaho#Government_response,placeholder
Idaho,Self-isolating if ill,placeholder,24.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Idaho#Government_response,placeholder
Idaho,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Idaho#Government_response,placeholder
Illinois,Schools + Universities,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,travel_restrictions,placeholder,21.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,Public events,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,Lockdown,placeholder,20.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
